Type,Gender,Discipline,Classification,Threshold
outdoor,m,400m+300m+200m+100m,I,120
outdoor,m,400m+300m+200m+100m,II,125
outdoor,m,400m+300m+200m+100m,III,130
outdoor,m,400m+300m+200m+100m,"I j.",140
outdoor,m,400m+300m+200m+100m,"II j.",145
outdoor,m,400m+300m+200m+100m,"III j.",150
outdoor,m,60mh_106.7,LM,7.75
outdoor,m,60mh_106.7,SM,8.1
outdoor,m,60mh_106.7,SMK,8.44
outdoor,m,60mh_106.7,I,8.94
outdoor,m,60mh_106.7,II,9.44
outdoor,m,60mh_106.7,III,10.14
outdoor,m,60mh_99.1,SMK,8.34
outdoor,m,60mh_99.1,I,8.74
outdoor,m,60mh_99.1,II,9.24
outdoor,m,60mh_99.1,III,9.94
outdoor,m,60mh_91.4,SMK,8.24
outdoor,m,60mh_91.4,I,8.44
outdoor,m,60mh_91.4,II,8.94
outdoor,m,60mh_91.4,III,9.74
outdoor,m,60mh_91.4,"I j.",10.2
outdoor,m,60mh_91.4,"II j.",10.8
outdoor,m,60mh_83.8,I,8.64
outdoor,m,60mh_83.8,II,8.94
outdoor,m,60mh_83.8,III,9.84
outdoor,m,60mh_83.8,"I j.",10.3
outdoor,m,60mh_83.8,"II j.",11
outdoor,m,60mh_83.8,"III j.",12
outdoor,m,110mh_106.7,LM,13.7
outdoor,m,110mh_106.7,SM,14.34
outdoor,m,110mh_106.7,SMK,15.14
outdoor,m,110mh_106.7,I,16.04
outdoor,m,110mh_106.7,II,17.04
outdoor,m,110mh_106.7,III,18.54
outdoor,m,110mh_99.1,SMK,14.84
outdoor,m,110mh_99.1,I,15.54
outdoor,m,110mh_99.1,II,16.54
outdoor,m,110mh_99.1,III,18.14
outdoor,m,110mh_91.4,SMK,14.64
outdoor,m,110mh_91.4,I,15.14
outdoor,m,110mh_91.4,II,16.04
outdoor,m,110mh_91.4,III,17.74
outdoor,m,110mh_91.4,"I j.",18.8
outdoor,m,110mh_91.4,"II j.",20
outdoor,m,110mh_83.8,I,15.44
outdoor,m,110mh_83.8,II,16.14
outdoor,m,110mh_83.8,III,17.64
outdoor,m,110mh_83.8,"I j.",19.5
outdoor,m,110mh_83.8,"II j.",21.5
outdoor,m,110mh_83.8,"III j.",22.5
outdoor,m,300mh,SMK,38.74
outdoor,m,300mh,I,40.74
outdoor,m,300mh,II,43.24
outdoor,m,300mh,III,47.24
outdoor,m,300mh,"I j.",50
outdoor,m,300mh,"II j.",52
outdoor,m,400mh,LM,49.5
outdoor,m,400mh,SM,52.64
outdoor,m,400mh,SMK,55.14
outdoor,m,400mh,I,58.64
outdoor,m,400mh,II,62.64
outdoor,m,400mh,III,68.14
outdoor,m,400mh,"I j.",71
outdoor,m,400mh,"II j.",76
outdoor,m,300mh_91.4,SMK,38.74
outdoor,m,300mh_91.4,I,40.74
outdoor,m,300mh_91.4,II,43.24
outdoor,m,300mh_91.4,III,47.24
outdoor,m,300mh_91.4,"I j.",50
outdoor,m,300mh_91.4,"II j.",52
outdoor,m,400mh_91.4,LM,49.5
outdoor,m,400mh_91.4,SM,52.64
outdoor,m,400mh_91.4,SMK,55.14
outdoor,m,400mh_91.4,I,58.64
outdoor,m,400mh_91.4,II,62.64
outdoor,m,400mh_91.4,III,68.14
outdoor,m,400mh_91.4,"I j.",71
outdoor,m,400mh_91.4,"II j.",76
outdoor,m,1500mSt,SMK,252
outdoor,m,1500mSt,I,276
outdoor,m,1500mSt,II,294
outdoor,m,1500mSt,III,320
outdoor,m,1500mSt,"I j.",336
outdoor,m,1500mSt,"II j.",357
outdoor,m,1500mSt,"III j.",383
outdoor,m,2000mSt,SM,345
outdoor,m,2000mSt,SMK,360
outdoor,m,2000mSt,I,380
outdoor,m,2000mSt,II,406
outdoor,m,2000mSt,III,443
outdoor,m,2000mSt,"I j.",460
outdoor,m,2000mSt,"II j.",520
outdoor,m,3000mSt,LM,510
outdoor,m,3000mSt,SM,530
outdoor,m,3000mSt,SMK,560
outdoor,m,3000mSt,I,590
outdoor,m,3000mSt,II,630
outdoor,m,3000mSt,III,685
outdoor,m,1500mSt_91.4,SMK,252
outdoor,m,1500mSt_91.4,I,276
outdoor,m,1500mSt_91.4,II,294
outdoor,m,1500mSt_91.4,III,320
outdoor,m,1500mSt_91.4,"I j.",336
outdoor,m,1500mSt_91.4,"II j.",357
outdoor,m,1500mSt_91.4,"III j.",383
outdoor,m,2000mSt_91.4,SM,345
outdoor,m,2000mSt_91.4,SMK,360
outdoor,m,2000mSt_91.4,I,380
outdoor,m,2000mSt_91.4,II,406
outdoor,m,2000mSt_91.4,III,443
outdoor,m,2000mSt_91.4,"I j.",460
outdoor,m,2000mSt_91.4,"II j.",520
outdoor,m,3000mSt_91.4,LM,510
outdoor,m,3000mSt_91.4,SM,530
outdoor,m,3000mSt_91.4,SMK,560
outdoor,m,3000mSt_91.4,I,590
outdoor,m,3000mSt_91.4,II,630
outdoor,m,3000mSt_91.4,III,685
outdoor,m,10000mW,LM,2460
outdoor,m,10000mW,SM,2580
outdoor,m,10000mW,SMK,2730
outdoor,m,10000mW,I,2850
outdoor,m,10000mW,II,3150
outdoor,m,10000mW,III,3450
outdoor,m,10000mW,"I j.",3660
outdoor,m,10000mW,"II j.",3900
outdoor,m,20000mW,LM,5010
outdoor,m,20000mW,SM,5460
outdoor,m,20000mW,SMK,5820
outdoor,m,20000mW,I,6240
outdoor,m,20000mW,II,6720
outdoor,m,20000mW,III,36000
outdoor,f,30m,III,5.14
outdoor,f,30m,"I j.",5
outdoor,f,30m,"II j.",5.2
outdoor,f,30m,"III j.",5.5
outdoor,f,60m,LM,7.25
outdoor,f,60m,SM,7.5
outdoor,f,60m,SMK,7.74
outdoor,f,60m,I,8.04
outdoor,f,60m,II,8.44
outdoor,f,60m,III,9.04
outdoor,f,60m,"I j.",9.1
outdoor,f,60m,"II j.",9.4
outdoor,f,60m,"III j.",9.8
outdoor,f,100m,LM,11.34
outdoor,f,100m,SM,11.84
outdoor,f,100m,SMK,12.34
outdoor,f,100m,I,12.84
outdoor,f,100m,II,13.64
outdoor,f,100m,III,14.84
outdoor,f,100m,"I j.",15.2
outdoor,f,100m,"II j.",16
outdoor,f,100m,"III j.",17
outdoor,f,200m,LM,22.95
outdoor,f,200m,SM,24.24
outdoor,f,200m,SMK,25.44
outdoor,f,200m,I,26.84
outdoor,f,200m,II,28.74
outdoor,f,200m,III,31.24
outdoor,f,200m,"I j.",32.4
outdoor,f,200m,"II j.",34
outdoor,f,200m,"III j.",36
outdoor,f,300m,SMK,39.24
outdoor,f,300m,I,41.24
outdoor,f,300m,II,44.24
outdoor,f,300m,III,48.24
outdoor,f,300m,"I j.",50
outdoor,f,300m,"II j.",53
outdoor,f,300m,"III j.",56
outdoor,f,400m,LM,52
outdoor,f,400m,SM,54.14
outdoor,f,400m,SMK,57.14
outdoor,f,400m,I,59.64
outdoor,f,400m,II,64.14
outdoor,f,400m,III,70.14
outdoor,f,400m,"I j.",75
outdoor,f,400m,"II j.",80
outdoor,f,400m,"III j.",82
outdoor,f,600m,SMK,92
outdoor,f,600m,I,97
outdoor,f,600m,II,104.5
outdoor,f,600m,III,115
outdoor,f,600m,"I j.",130
outdoor,f,600m,"II j.",140
outdoor,f,600m,"III j.",145
outdoor,f,800m,LM,122.14
outdoor,f,800m,SM,127.64
outdoor,f,800m,SMK,132.14
outdoor,f,800m,I,142.14
outdoor,f,800m,II,155.14
outdoor,f,800m,III,175.14
outdoor,f,800m,"I j.",185
outdoor,f,800m,"II j.",198
outdoor,f,800m,"III j.",215
outdoor,f,1000m,LM,156.5
outdoor,f,1000m,SM,164
outdoor,f,1000m,SMK,174
outdoor,f,1000m,I,185
outdoor,f,1000m,II,200
outdoor,f,1000m,III,220
outdoor,f,1000m,"I j.",235
outdoor,f,1000m,"II j.",250
outdoor,f,1000m,"III j.",275
outdoor,f,1500m,LM,250
outdoor,f,1500m,SM,260
outdoor,f,1500m,SMK,275
outdoor,f,1500m,I,288
outdoor,f,1500m,II,310
outdoor,f,1500m,III,342
outdoor,f,1500m,"I j.",363
outdoor,f,1500m,"II j.",390
outdoor,f,1500m,"III j.",405
outdoor,f,3000m,LM,535
outdoor,f,3000m,SM,560
outdoor,f,3000m,SMK,585
outdoor,f,3000m,I,625
outdoor,f,3000m,II,680
outdoor,f,3000m,III,750
outdoor,f,3000m,"I j.",795
outdoor,f,3000m,"II j.",870
outdoor,f,5000m,LM,930
outdoor,f,5000m,SM,970
outdoor,f,5000m,SMK,1030
outdoor,f,5000m,I,1095
outdoor,f,5000m,II,1175
outdoor,f,5000m,III,1290
outdoor,f,10000m,LM,1960
outdoor,f,10000m,SM,2040
outdoor,f,10000m,SMK,2160
outdoor,f,10000m,I,2280
outdoor,f,10000m,II,2490
outdoor,f,10000m,III,2700
outdoor,f,4x100m,LM,43.35
outdoor,f,4x100m,SM,45.24
outdoor,f,4x100m,SMK,48.24
outdoor,f,4x100m,I,51.04
outdoor,f,4x100m,II,54.24
outdoor,f,4x100m,III,58.74
outdoor,f,4x100m,"I j.",61
outdoor,f,4x100m,"II j.",64
outdoor,f,4x100m,"III j.",68
outdoor,f,4x400m,LM,206.14
outdoor,f,4x400m,SM,218.14
outdoor,f,4x400m,SMK,227.14
outdoor,f,4x400m,I,240.14
outdoor,f,4x400m,II,256.14
outdoor,f,4x400m,III,280.14
outdoor,f,4x400m,"I j.",292
outdoor,f,4x400m,"II j.",305
outdoor,f,4x400m,"III j.",320
outdoor,f,400m+300m+200m+100m,I,135
outdoor,f,400m+300m+200m+100m,II,142
outdoor,f,400m+300m+200m+100m,III,150
outdoor,f,400m+300m+200m+100m,"I j.",160
outdoor,f,400m+300m+200m+100m,"II j.",170
outdoor,f,400m+300m+200m+100m,"III j.",190
outdoor,f,60mh_83.8,LM,8.1
outdoor,f,60mh_83.8,SM,8.54
outdoor,f,60mh_83.8,SMK,8.94
outdoor,f,60mh_83.8,I,9.54
outdoor,f,60mh_83.8,II,10.34
outdoor,f,60mh_83.8,III,11.34
outdoor,f,60mh_76.2,SMK,9.04
outdoor,f,60mh_76.2,I,9.34
outdoor,f,60mh_76.2,II,9.74
outdoor,f,60mh_76.2,III,10.64
outdoor,f,60mh_76.2,"I j.",11.2
outdoor,f,60mh_76.2,"II j.",12.5
outdoor,f,60mh_76.2,"III j.",13
outdoor,f,100mh_83.8,LM,13.2
